Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Home Office,United States,Washington,District of Columbia,20016,East,Office Supplies,Art,33.92,8,0,13.2288
Standard Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Supplies,21.81,3,0,5.8887
Standard Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Appliances,91.6,5,0,26564
Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Furniture,Chairs,150.98,1,0,43.7842
Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Office Supplies,Envelopes,137.25,9,0,63135
Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Office Supplies,Fasteners,11.52,4,0,5.4144
Second Class,Home Office,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,18272,1,0.2,5.9384
Second Class,Home Office,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,153728,4,0.2,53.8048
Second Class,Home Office,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Envelopes,12224,2,0.2,4.4312
Second Class,Home Office,United States,Jacksonville,North Carolina,28540,South,Technology,Accessories,167944,7,0.2,50.3832
Standard Class,Consumer,United States,Rochester,New York,14609,East,Technology,Phones,45.99,1,0,13.3371
Standard Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Storage,535.41,3,0,160623
Standard Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Binders,6096,2,0.2,2.0574
Standard Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Paper,45.36,7,0,21.7728
Standard Class,Consumer,United States,Oceanside,California,92054,West,Furniture,Furnishings,47.12,8,0,20.7328
Second Class,Corporate,United States,Gulfport,Mississippi,39503,South,Office Supplies,Binders,31.36,4,0,15.68
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Art,47616,3,0.2,3.5712
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,23.48,5,0.2,8218
Standard Class,Home Office,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,62.79,3,0.8,-166.3935
Standard Class,Home Office,United States,Houston,Texas,77070,Central,Office Supplies,Fasteners,28.44,9,0.2,4266
Second Class,Corporate,United States,Houston,Texas,77095,Central,Technology,Accessories,134376,3,0.2,6.7188
Standard Class,Home Office,United States,Everett,Massachusetts,2149,East,Technology,Phones,589.9,2,0,147475
Standard Class,Home Office,United States,Everett,Massachusetts,2149,East,Furniture,Chairs,542.94,3,0,141.1644
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Copiers,2879952,6,0.2,1007.9832
First Class,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Binders,90.48,3,0.2,33.93
Second Class,Corporate,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,77.55,5,0,21714
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Office Supplies,Supplies,8832,3,0.2,-1.9872
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Office Supplies,Paper,177536,4,0.2,62.1376
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Office Supplies,Storage,258.48,2,0.2,-3231
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Furnishings,14136,3,0.2,4.2408
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Storage,77.55,5,0,20163
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Storage,24.88,2,0,6.9664
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Art,140.75,5,0,39.41
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Storage,36.63,3,0,9.8901
Same Day,Consumer,United States,Mount Pleasant,Michigan,48858,Central,Furniture,Furnishings,17.14,2,0,6.1704
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Labels,51.75,5,0,24.84
Second Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,123.96,3,0,11.1564
Standard Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Bookcases,586398,6,0.15,34494
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Storage,80.98,1,0,3.2392
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Storage,242.94,3,0,9.7176
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Art,123.92,4,0,33.4584
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Art,12.39,3,0,5.6994
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Art,47.3,2,0,12298
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Technology,Copiers,1599.92,8,0,751.9624
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Envelopes,11.09,1,0,5.4341
Second Class,Consumer,United States,Fort Collins,Colorado,80525,West,Office Supplies,Binders,3168,4,0.7,-2.5344
Second Class,Consumer,United States,Fort Collins,Colorado,80525,West,Furniture,Chairs,579136,4,0.2,-28.9568
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,6368,2,0.2,2.1492
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Machines,558.4,2,0.2,41.88
Standard Class,Home Office,United States,New York City,New York,10011,East,Furniture,Chairs,145764,2,0.1,-8098
Standard Class,Corporate,United States,Richmond,Virginia,23223,South,Office Supplies,Paper,13.62,3,0,6129
Standard Class,Home Office,United States,New York City,New York,10009,East,Furniture,Chairs,434646,3,0.1,62.7822
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,440.19,9,0,206.8893
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Supplies,64.4,5,0,1932
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Paper,244.55,5,0,114.9385
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Paper,195.76,4,0,97.88
Standard Class,Home Office,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Paper,11.76,2,0,5.7624
Standard Class,Home Office,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Storage,166.45,5,0,39948
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Fasteners,2.88,1,0,1.3536
Standard Class,Corporate,United States,Freeport,Illinois,61032,Central,Office Supplies,Storage,45248,2,0.2,3.9592
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,59904,2,0.2,14.2272
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Appliances,23696,2,0.2,6.5164
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Paper,7968,2,0.2,2.8884
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Appliances,18.2,7,0.2,2.0475
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,27552,3,0.2,-0.3444
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,844116,6,0.3,-36.1764
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,76752,3,0.2,-9594
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,3,1,0.2,1.05
Standard Class,Consumer,United States,Pembroke Pines,Florida,33024,South,Office Supplies,Binders,7506,9,0.7,-6.0048
Standard Class,Consumer,United States,Pembroke Pines,Florida,33024,South,Office Supplies,Labels,16.56,2,0.2,5796
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Furniture,Furnishings,79.92,4,0,34.3656
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Technology,Accessories,69.98,2,0,13.2962
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,11.06,10,0.8,-18802
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,623.4648,7,0.32,-119.1918
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Storage,772.68,5,0.2,-57951
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Appliances,283.14,4,0.1,72358
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Technology,Phones,635.96,4,0,165.3496
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Technology,Phones,118.99,1,0,33.3172
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Furniture,Furnishings,272.94,3,0,30.0234
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,15008,2,0.2,1.5008
Standard Class,Consumer,United States,Logan,Utah,84321,West,Office Supplies,Binders,33088,4,0.2,11.1672
Standard Class,Consumer,United States,Logan,Utah,84321,West,Office Supplies,Storage,80.98,1,0,3.2392
Standard Class,Consumer,United States,Logan,Utah,84321,West,Technology,Accessories,82.8,12,0,6624
Standard Class,Consumer,United States,Logan,Utah,84321,West,Office Supplies,Storage,21.36,2,0,5.7672
Standard Class,Consumer,United States,Logan,Utah,84321,West,Office Supplies,Binders,62048,2,0.2,20.1656
Second Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Fasteners,29.61,9,0,13.3245
Same Day,Consumer,United States,Raleigh,North Carolina,27604,South,Technology,Phones,863928,9,0.2,86.3928
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Tables,241.92,4,0.4,-56448
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Bookcases,163.88,4,0.5,-81.94
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,3486,2,0.7,-2.7888
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,10584,7,0.2,-2.3814
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Technology,Phones,440.91,9,0,123.4548
Standard Class,Consumer,United States,Lancaster,Pennsylvania,17602,East,Office Supplies,Binders,5715,5,0.7,-4.7625
First Class,Consumer,United States,Tucson,Arizona,85705,West,Furniture,Furnishings,51968,2,0.2,10.3936
First Class,Consumer,United States,Tucson,Arizona,85705,West,Technology,Accessories,71976,3,0.2,21.5928
First Class,Consumer,United States,Tucson,Arizona,85705,West,Furniture,Chairs,242352,3,0.2,-42.4116
First Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,221.92,5,0.2,77672
First Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,8448,2,0.2,2.64
Same Day,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders,29.52,4,0,14.4648
Same Day,Consumer,United States,Detroit,Michigan,48205,Central,Furniture,Chairs,302.94,3,0,48.4704
Same Day,Consumer,United States,Detroit,Michigan,48205,Central,Furniture,Chairs,142.36,2,0,38.4372
Same Day,Consumer,United States,Detroit,Michigan,48205,Central,Furniture,Chairs,546.66,9,0,136665
Same Day,Consumer,United States,Detroit,Michigan,48205,Central,Furniture,Furnishings,212.13,3,0,14.8491
Standard Class,Home Office,United States,Austin,Texas,78745,Central,Office Supplies,Art,5248,2,0.2,0.5904
Standard Class,Home Office,United States,Austin,Texas,78745,Central,Office Supplies,Storage,74416,2,0.2,-14.8832
Standard Class,Home Office,United States,Austin,Texas,78745,Central,Office Supplies,Paper,6848,2,0.2,2.14
Standard Class,Home Office,United States,Austin,Texas,78745,Central,Furniture,Furnishings,7996,1,0.6,-6.9965
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,8712,2,0.8,-19602
First Class,Consumer,United States,Waterbury,Connecticut,6708,East,Office Supplies,Supplies,65.17,7,0,18.8993
First Class,Consumer,United States,Waterbury,Connecticut,6708,East,Office Supplies,Labels,14.62,2,0,6.8714
First Class,Consumer,United States,Waterbury,Connecticut,6708,East,Furniture,Furnishings,173.24,4,0,17324
First Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,895.92,5,0.2,302373
First Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Storage,130.71,3,0,39213
First Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Art,11.68,2,0,3.0368
First Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,62.31,3,0,22.4316
Same Day,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,852,1,0.7,-0.5964
Standard Class,Consumer,United States,Huntsville,Texas,77340,Central,Office Supplies,Paper,36288,7,0.2,12.7008
Standard Class,Consumer,United States,Huntsville,Texas,77340,Central,Furniture,Furnishings,56568,2,0.6,-74.9526
First Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones,344704,2,0.2,38.7792
Standard Class,Consumer,United States,Louisville,Colorado,80027,West,Technology,Phones,201584,2,0.2,20.1584
Second Class,Home Office,United States,Seattle,Washington,98115,West,Furniture,Tables,521.96,2,0,88.7332
Standard Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Art,8.22,3,0,2.2194
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,45.36,7,0,21.7728
Second Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Storage,947.17,7,0,9.4717
Second Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Paper,61.96,2,0,27882
Second Class,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Tables,268935,3,0.5,-209.7693
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Office Supplies,Art,7.58,1,0,2.9562
Same Day,Consumer,United States,Athens,Georgia,30605,South,Office Supplies,Labels,14.73,3,0,7.2177
Standard Class,Home Office,United States,Apopka,Florida,32712,South,Office Supplies,Binders,9888,2,0.7,-6.9216
Standard Class,Home Office,United States,Apopka,Florida,32712,South,Office Supplies,Appliances,671544,3,0.2,50.3658
Second Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Storage,1117.92,4,0,55896
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Bookcases,275952,3,0.2,-37.9434
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,123144,7,0.2,46179
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Technology,Accessories,15576,3,0.2,3.3099
Second Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Paper,212.64,6,0,99.9408
Second Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Paper,9.87,3,0,4.5402
Second Class,Consumer,United States,San Diego,California,92105,West,Technology,Accessories,53.25,3,0,20.7675
Second Class,Consumer,United States,San Diego,California,92105,West,Furniture,Furnishings,19.92,3,0,9.5616
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Chairs,658746,3,0.1,146388
Standard Class,Home Office,United States,Lewiston,Maine,4240,East,Office Supplies,Binders,8.26,2,0,3.8822
Standard Class,Home Office,United States,Lewiston,Maine,4240,East,Office Supplies,Binders,29.84,2,0,13428
Standard Class,Home Office,United States,Lewiston,Maine,4240,East,Technology,Accessories,67.98,2,0,14.9556
Standard Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Labels,61.06,2,0,28.0876
Standard Class,Consumer,United States,Long Beach,California,90805,West,Furniture,Tables,35544,1,0.2,-0.8886
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Labels,9.96,2,0,4.5816
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Art,9.21,3,0,2.3025
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Supplies,27.93,3,0,8.0997
Same Day,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Fasteners,7.9,2,0,2528
Same Day,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Storage,221.16,4,0,57.5016
Same Day,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Binders,127.96,2,0,62.7004
Same Day,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Binders,18.69,3,0,9.1581
Same Day,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Supplies,25.35,3,0,7605
Same Day,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,35.28,3,0,11.9952
First Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,33.4,5,0,16032
First Class,Corporate,United States,Spokane,Washington,99207,West,Technology,Machines,837.6,3,0.2,62.82
Standard Class,Consumer,United States,Franklin,Tennessee,37064,South,Technology,Phones,40.68,3,0.2,-9153
Standard Class,Consumer,United States,Jackson,Tennessee,38301,South,Furniture,Chairs,209568,2,0.2,-23.5764
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Technology,Accessories,22368,4,0.2,6.4308
Standard Class,Consumer,United States,Pembroke Pines,Florida,33024,South,Office Supplies,Binders,3882,2,0.7,-2588
Standard Class,Consumer,United States,Pembroke Pines,Florida,33024,South,Office Supplies,Paper,115296,3,0.2,40.3536
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,1908,2,0.7,-1.5264
Standard Class,Home Office,United States,Danville,Illinois,61832,Central,Office Supplies,Binders,43372,7,0.8,-69.3952
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Phones,783.96,4,0,219.5088
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,48896,2,0.2,18336
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,7856,2,0.2,2.8478
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Labels,5904,2,0.2,1.9926
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Supplies,13712,2,0.2,1.0284
Standard Class,Consumer,United States,Chula Vista,California,91911,West,Office Supplies,Envelopes,182.94,3,0,85.9818
First Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Art,27.76,4,0,9.9936
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,25.99,1,0,7.5371
First Class,Corporate,United States,San Antonio,Texas,78207,Central,Technology,Accessories,113.52,5,0.2,29799
First Class,Corporate,United States,San Antonio,Texas,78207,Central,Technology,Phones,359.88,3,0.2,22.4925
Same Day,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,25344,4,0.2,9.1872
Second Class,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Binders,11952,3,0.2,4.1832
Second Class,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Supplies,6.24,3,0,1872
Second Class,Consumer,United States,Avondale,Arizona,85323,West,Technology,Phones,742336,8,0.2,83.5128
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,6464,1,0.6,-4.04
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Labels,11.52,5,0.2,4176
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,222384,2,0.2,16.6788
Standard Class,Home Office,United States,Escondido,California,92025,West,Office Supplies,Art,23.36,4,0,6.0736
Second Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Labels,8.67,3,0,4.0749
Second Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Supplies,25.71,3,0,6.6846
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Appliances,100.94,7,0,33.3102
First Class,Consumer,United States,Buffalo,New York,14215,East,Furniture,Chairs,63882,1,0.1,10647
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Chairs,683144,4,0.3,0
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,1476,3,0.8,-2214
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Supplies,40712,7,0.2,3.5623
Standard Class,Consumer,United States,Wichita,Kansas,67212,Central,Office Supplies,Paper,279.9,5,0,137151
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,13.12,5,0.2,1148
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Bookcases,69576,4,0.7,-143.7904
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,4224,3,0.2,0.4752
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Technology,Accessories,58.08,4,0.2,-6534
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Furnishings,52416,9,0.2,15.0696
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Furnishings,54.92,5,0.2,10984
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Tables,364.95,5,0.5,-248166
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Paper,85056,3,0.2,28.7064
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Paper,27696,3,0.2,9.6936
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,24.96,4,0,11232
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Furnishings,43.13,1,0,18.1146
Standard Class,Consumer,United States,Marietta,Georgia,30062,South,Office Supplies,Binders,5.64,3,0,2.7072
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,57582,3,0.7,-44.1462
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,31104,6,0.2,10.8864
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings,30192,3,0.2,8.3028
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Technology,Phones,43.6,5,0.2,4.36
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Art,4768,2,0.2,0.4172
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,10.38,2,0.7,-7612
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,13392,8,0.7,-9.8208
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,39594,1,0.4,-7.2589
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,91008,9,0.2,19.3392
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,37.94,2,0,18.2112
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,42.8,10,0,19.26
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Storage,33.63,3,0,10089
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Envelopes,62808,3,0.2,21.1977
First Class,Consumer,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Paper,195.64,4,0,91.9508
First Class,Consumer,United States,Eau Claire,Wisconsin,54703,Central,Technology,Phones,239.9,2,0,71.97
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,380058,3,0.3,-21.7176
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Copiers,1199976,4,0.4,179.9964
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,48576,3,0.2,9.7152
First Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,17.94,3,0,8073
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,18264,3,0.2,6.1641
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34656,2,0.2,5.6316
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,81552,2,0.2,8.1552
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,227136,4,0.2,-42588
Standard Class,Consumer,United States,Norwich,Connecticut,6360,East,Office Supplies,Binders,10.36,2,0,5.0764
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,463248,8,0.8,-1181.2824
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Accessories,383952,6,0.2,47994
Same Day,Home Office,United States,Yuma,Arizona,85364,West,Office Supplies,Binders,44856,6,0.7,-35.8848
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Machines,30345,7,0.7,-24276
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Chairs,127554,3,0.3,-9111
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Furnishings,77952,3,0.2,15.5904
First Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Binders,14016,4,0.2,4.9056
Standard Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Storage,69.52,2,0,19.4656
Standard Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Art,5.64,3,0,1.6356
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,13776,3,0.2,4.4772
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Appliances,245.88,6,0,68.8464
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Storage,36.63,3,0,9.8901
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Storage,22.58,2,0,5.8708
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Binders,12.39,3,0,5.8233
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Binders,39.92,5,0.2,13473
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Paper,61.96,2,0,27882
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Binders,19936,4,0.2,7.2268
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Binders,3798,2,0.7,-2.6586
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper,27744,6,0.2,10.0572
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Phones,158376,4,0.4,-34.3148
Standard Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,27.58,2,0,11.5836
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Binders,5553,3,0.7,-4.0722
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,243.92,5,0.2,-54882
First Class,Consumer,United States,Lakewood,New Jersey,8701,East,Office Supplies,Fasteners,14.96,4,0,0.2992
First Class,Corporate,United States,Los Angeles,California,90008,West,Office Supplies,Binders,7184,2,0.2,2245
Second Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Binders,10512,3,0.2,3.6792
Second Class,Corporate,United States,Salem,Oregon,97301,West,Technology,Phones,263.96,5,0.2,19797
Second Class,Corporate,United States,Salem,Oregon,97301,West,Office Supplies,Art,71632,11,0.2,17908
Second Class,Corporate,United States,Salem,Oregon,97301,West,Office Supplies,Art,9328,1,0.2,0.8162
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Office Supplies,Art,5.88,2,0,2646
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Furniture,Chairs,975.92,5,0.2,121.99
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Office Supplies,Art,303.84,8,0,91152
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Office Supplies,Storage,485.88,6,0,19.4352
Second Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,12.54,3,0,4.5144
Second Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Storage,8.94,3,0,0.6258
Second Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,9.24,3,0,4.4352
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,70008,3,0.2,24.5028
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,77.6,4,0,38024
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,464.85,9,0,92.97
